CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	EDITOR	JOURNAL	NOTE	NUMBER	SCHOOL	URL	VOLUME	SERIES
article	forker2016	Forker, Diana	Toward a typology for additive markers	2016			69--100			Lingua		180				
article	gast_auwera2011	Volker, Gast and van der Auwera, Johan	Scalar Additive Operators in the Languages of Europe	2011			2--54			Language		87				
inproceedings	gil1995	Gil, David	Universal Quantifiers and Distributivity	1995	Springer Netherlands	Dordrecht	321--362	Quantification in natural languages.								
article	gil2004	Gil, David	Riau Indonesian sama	2004	John Benjamins	Amsterdam	371--424	Coordinating constructions								Typological Studies in Language
book	haspelmath1997	Haspelmath, Martin	Indefinite Pronouns	1997	Oxford University Press	Oxford										
book	haspelmath2004	Haspelmath, Martin	Coordinating constructions: An overview.	2004	J. Benjamins Pub. Co.	Amsterdam	1--39	Coordinating constructions 								Typological Studies in Language
inproceedings	haspelmath_konig1998	"Haspelmath, Martin and K{\""o}nig, Ekkehard"	Concessive conditionals in the languages of Europe	1998			563--640	EMPIRICAL APPROACHES TO LANGUAGE TYPOLOGY								
incollection	kaye_forthcoming	Кауе et. al.	Andi (Zilo dialect)	forthcoming	De Gruyter Mouton	Berlin/New York		The Caucasian Languages. An International Handbook	Lander, Y., Maisak, T., and Koryakov, Y.							
article	kozlov_zakirova2023	Kozlov A., Zakirova A.	THE EXHAUSTIVE PARTICLE= ok IN HILL MARI AND BEYOND	2023						Linguistica Uralica		2			59	
inproceedings	konig1991	" K{\""o}nig, Ekkehard"	The meaning of focus particles: a comparative perspective	1991	Routledge	London, New York										
incollection	konig2017	" K{\""o}nig, Ekkehard"	Syntax and semantics of additive focus markers from a cross- linguistic perspective: A tentative assessment of the state of the art.	2017	J. Benjamins Pub. Co.	Amsterdam	23--44	Focus on Additivity: Adverbial modifiers in Romance, Germanic and Slavic languages	De Cesare, Anna-Maria & Andorno, Cecilia							Pragmatics & Beyond New Series
article	krifka1998	Krifka, Manfred 	Additive Particles under Stress. 	1998			111--129	Semantics and Linguistic Theory							8	
article	lander_maysak2022	Lander, Y. and Maisak, T.	“Other” Strategies in the Eastern Caucasus (Part II): Typology	2022			272--288			Iran and the Caucasus		3			26	
inproceedings	maysak2015	Maisak, T.	The functions of additive markers in two Lezgic languages (Agul and Udi)	2015		Leiden 		Workshop ‘Additives Across Languages.’						http://www.lingvarium.org/maisak/publ/Maisak_Leiden2015.pdf		
article	maysak2021	Maisak, T.	Endoclitics in Andi	2021			1--34			Folia Linguistica		1			55	
article	szabolcsi2015	Szabolcsi, A. 	What do quantifier particles do?	2015			159--204			Linguistics and Philosophy		2			38	
article	willigen2018	van Willigen, C. 	The Udi additive clitical in prose discourse 	2018			6--28			Родной язык		1				
article	verhees2019	Verhees, S.	General converbs in Andi 	2019			195--230			Studies in Language. International Journal sponsored by the Foundation “Foundations of Language”		1			43	
article	belyaev2011	Беляев, О. И.	Сочинение и подчинение в ицаринском, кункинском и аштинском диалектах даргинского языка	2011			13--20			Acta Linguistica Petropolitana. Труды института лингвистических исследований		3			7	
book	kibrik1999	Кибрик, Андрей Е. and Тестелец, Яков Г.	Элементы цахурского языка в типологическом освещении	1999							ru					
unpublished	mukhin2021	Мухин, Т. А. 	Аддитивные и сочинительные клитики в рутульском	2021	НИУ ВШЭ	М										
incollection	russkich2019	Русских, Алина А.	Квантификаторы со значением полного охвата в славянских языках: кодирование дискретных множеств и недискретных совокупностей	2019	Институт языкознания РАН	М	156--175	Проблемы языка. Сборник научных статей по материалам Седьмой конференции-школы «Проблемы языка: взгляд молодых ученых» (11-13 апреля 2019 г.)			ru					
incollection	russkikh_oskolskaya2021	Русских, А. А. & Оскольская, С. А.	Аддитивная частица в тюркских языках Поволжья	2021			1324--1352	Oriental studies				6			14	
book	salimov2010	Салимов, Хангерей Саидович	Гагатлинский говор андийского языка	2010	ИЯЛИ	Махачкала					ru					
